t_s,soc_p5,soc_p50,soc_p95
1.085000000000000000e+03,7.291678705352683254e-01,7.310982888740602537e-01,7.324176695698717543e-01
1.090000000000000000e+03,7.280530789295445171e-01,7.299924334158303108e-01,7.313179004260563776e-01
1.095000000000000000e+03,7.269389653690695452e-01,7.288872593409922995e-01,7.302188147321663214e-01
1.100000000000000000e+03,7.258255244607206835e-01,7.277827612964514747e-01,7.291204071618077043e-01
1.105000000000000000e+03,7.247127508430227794e-01,7.266789339607195863e-01,7.280226724201576127e-01
1.110000000000000000e+03,7.236006391859709508e-01,7.255757720437383540e-01,7.269256052437870208e-01
1.115000000000000000e+03,7.224891841908548384e-01,7.244732702867041629e-01,7.258292004004870401e-01
1.120000000000000000e+03,7.213783805900823021e-01,7.233714234618934258e-01,7.247334526890942819e-01
1.125000000000000000e+03,7.202682231470045604e-01,7.222702263724889438e-01,7.236383569393184390e-01
1.130000000000000000e+03,7.191587066557426633e-01,7.211696738524064898e-01,7.225439080115696466e-01
1.135000000000000000e+03,7.180498259410140749e-01,7.200697607661232791e-01,7.214501007967866197e-01
1.140000000000000000e+03,7.169415758579600340e-01,7.189704820085063286e-01,7.203569302162667887e-01
1.145000000000000000e+03,7.158339512919736913e-01,7.178718325046413717e-01,7.192643912214956581e-01
1.150000000000000000e+03,7.147269471585305789e-01,7.167738072096645485e-01,7.181724787939787191e-01
1.155000000000000000e+03,7.136205584030174132e-01,7.156764011085922084e-01,7.170811879450720294e-01
1.160000000000000000e+03,7.125147800005635634e-01,7.145796092161533775e-01,7.159905137158162347e-01
1.165000000000000000e+03,7.114096069558728530e-01,7.134834265766232253e-01,7.149004511767691472e-01
1.170000000000000000e+03,7.103050343030559155e-01,7.123878482636554210e-01,7.138109954278407665e-01
1.175000000000000000e+03,7.092010571054636614e-01,7.112928693801177094e-01,7.127221415981273012e-01
1.180000000000000000e+03,7.080976704555217438e-01,7.101984850579269315e-01,7.116338848457488542e-01
1.185000000000000000e+03,7.069948694745652462e-01,7.091046904578851562e-01,7.105462203576852209e-01
1.190000000000000000e+03,7.058926493126751467e-01,7.080114807695168100e-01,7.094591433496134636e-01
